Id,Verified,Followers,Region
Jennife34195249,false,637,
AZLD13Democrats,false,655,Arizona
cmaguire416,false,168,New Hampshire
jumptuitcorp,false,40,New York
Clone19991,false,84,Minnesota
WasOnceLou,false,3203,Massachusetts
floridagal68,false,257,Georgia
CaryLafaye,false,2661,
JosephSoblosky,false,4020,New York
Austin_Police,true,168536,Texas
LeahMessenger,false,40,Michigan
crocker_allie,false,1651,Maine
SGNSV_,false,2279,
tradecruz,false,273,
adjunctprofesor,false,92960,
MarshaSGardner,false,476,Alabama
sayno2trump775,false,4536,Nevada
dazyholly,false,1640,
avgusergirl,false,433,
FlyGrl520,false,449,Arizona
gracesmilegive,false,1922,
kamzou08,false,8481,Virginia
MassNurses,false,2736,Massachusetts
rsultzba,false,41942,
jjvlovelove,false,628,
NazyLil,false,29,New York
SnoozeyQ,false,160,Pennsylvania
eattransparent,false,253,Massachusetts
LaToriaBolden,false,2344,Texas
jonmgibson,true,1344,California
MacBetty,false,5374,Florida
james_jr86,false,92,
strawberry407,false,2544,Virginia
PolitiZoom,false,2241,
nick_ponton,false,2040,Michigan
bctejasvi,false,196,California
Norsu2,false,57566,
UMDPublicHealth,false,6657,Maryland
TheJaniceTemple,false,6873,District of Columbia
RichHillman6,false,67,Texas
MarlenaTV,true,14567,Massachusetts
AjYerman,false,102,Oregon
HorrorH0und,false,5555,California
CaroleAileen,false,13264,Washington
The_Book_Queen,false,5798,Utah
AprilDRyan,true,689191,District of Columbia
Sessal4,false,1813,Arizona
rashawnstrife,false,179,
Mikaey43,false,62,
ProgressNow_NC,false,9358,
LaurenYoung,true,36141,New York
London03329926,false,552,New York
jcblount,false,51263,Georgia
netbacker,false,4239,California
HunterofRacks,false,87,
god4usa,false,644,California
theoriginalCP1,false,245,
UpfrontKPFA,false,1553,California
ethanbrady14,false,58,Illinois
noventurenogain,false,51,New York
DrNealHouston,false,68846,
MosaicYP,false,311,Pennsylvania
robinbobula,false,4121,Pennsylvania
VeroBalderasI,false,8639,District of Columbia
Minman452,false,287,Georgia
AD4Biden,false,7,
brownsfan204,false,2766,Illinois
mariescircle,false,270,
MattZimmerman0,false,56,Wisconsin
Dusty_R17,false,23738,
Mother_Rell,false,1325,Maryland
Sparkplug1206,false,4040,Colorado
AntheRhodes,false,1977,
AmeliaCeja,false,7292,California
dkopensky,false,448,California
lawdawgseven,false,6506,
awschelling,false,1802,District of Columbia
J_Mab,false,1132,Kentucky
verret_lee,false,1,Louisiana
lv2hike17,false,48,
katysolt,true,2204,North Carolina
davos95781943,false,1072,Florida
markamerica,false,5321,
MichaelBland54,false,992,South Carolina
arthurakay,false,1460,Illinois
drniiquartelai,false,1874,District of Columbia
fred_n7mhs,false,8,District of Columbia
jadyn_bee,false,141,Texas
star_ravyn,false,9525,
Jacaranda7549,false,3964,
USAGov,true,349621,District of Columbia
Sedgewicklebow1,false,268,Tennessee
DonnaJo1002,false,3230,South Carolina
ThomShaf,false,279,Texas
sjeer97,false,117,West Virginia
MissILmom,false,101349,Florida
UTnewsie,false,902,Ohio
FOX61News,true,142140,Connecticut
BeSeriousUSA,false,48653,
CraigSymons,false,335,Illinois
SErndt,false,2241,Virginia
mister_cstewart,false,348,Minnesota
vicky38336024,false,170,
ClaudiaPiu,false,490,New York
