Source,Target,Time
Eco1stArt,vabvox,1603810117000
ConscienceCit,2hemidude2,1601441723000
bobsmietana,reveverett,1604098666000
OrsonJTrump,utahgop,1602960345000
jparkerNFL,joerogan,1600148206000
muzzys_kitchen,aprildryan,1598062029000
jrossr59,realdonaldtrump,1600151414000
cleangourmet,dnc,1604308514000
ElFloyo,,1599894436000
JOLPOLitico,dakotanthehouse,1602978397000
jcarole,,1604089321000
tishatcasida,,1603734170000
TVNewsLady,,1601350501000
NaeHelen,fhuseth,1604366840000
chucktweet,realdonaldtrump,1601445124000
FunnerBunner,therock,1601228673000
Scott2Bfree,realdonaldtrump,1601240855000
CCV_VT,,1603828801000
essvote,,1603776302000
DudleyDidrightV,hyltonrobin,1601193003000
CamCox12,camcox12,1604054963000
derekdob,,1603729355000
papiche29,realdonaldtrump,1600153724000
DudleyDidrightV,realjameswoods,1601677046000
Erkal77,ndlb2020,1603845022000
OHDems,iamdontavius,1603061164000
Red_N_Right,skagitcogop,1604116513000
IUCB,,1604360348000
Rowdygirlinmt,patbrown552,1603523768000
spaikin,polly_asi,1603822784000
TigerMary4Trump,va1conservative,1600153286000
SovernNation,cmarinucci,1604022083000
RealLowhangers,peoples_pundit,1603750242000
Dwiggins89,timkennedymma,1600068577000
Bullet96087287,cognitivediss00,1598210688000
jakohunter,wolfiesmom,1600225452000
Sessal4,ejmontini,1603769393000
JaredAllebest,foxnewssunday,1601446549000
PeterHi32200905,mikandynothem,1602894247000
cchartini,ap_politics,1596781155000
TWISTtweets,,1603731243000
ThomasJ57987234,joebiden,1600098032000
Casinocoder,vp,1603621178000
JillsonEmily,ravagiing,1601449218000
Mistah_Gr3y,,1601446650000
swecids,sandrasentinel,1600215166000
larnold92,timkennedymma,1600107981000
DeniseK_USA,cbsnews,1602956105000
aboutfacechi,,1604352694000
FogBelter,cnn,1596754077000
AndAmericaForA1,usps,1604302055000
Swazilander6,timkennedymma,1600057102000
Markeo3,joebiden,1602877024000
EmzRoMus,timkennedymma,1600110794000
SlimStevieX,jorgensen4potus,1596613999000
karenann915,joebiden,1600196691000
cssfarmer,rudygiuliani,1604032785000
notjustmylife,corybooker,1603868525000
MarieEddy13,timkennedymma,1600109229000
MikeH5856,cbcpodcasts,1604305641000
MaskPowers,brandikruse,1601512365000
RiceUNews,markpjonestx,1602971469000
KatelynHarrop,hellokatepayne,1602873805000
Joel44537047,_jhokanson,1603951433000
Beattis17,,1604082998000
DCCarrie,joebiden,1603745096000
Lowcountry1Girl,socialyteonryte,1599799462000
deplorablecake,speakerpelosi,1600197856000
TweetMacro,albertklu,1603744414000
roxyszal,kristenclarkejd,1604086032000
lowetom65,wa_silenced_maj,1602954485000
granger_md,cdc,1600103473000
The_Daily_Alien,lindseygrahamsc,1598111816000
JntPodcast,spreaker,1601542757000
UMDPublicHealth,,1603825264000
ElecCollPolls,electiongraphs,1604014231000
tenajd,krisb_brown,1604098305000
SalbarreyResis1,jamespeshaw,1600183368000
lmblaj1234,mikandynothem,1604378292000
TheBingle,9joe9,1598230171000
BenInfoWarren,joebiden,1600131086000
rustyandsue,jessicadean,1596783249000
AmyMacKinnon,,1603644611000
Eviethekid,trumpwarroom,1598160794000
KimThoman1,gop,1598144541000
lovebaldeagles,jobbiden,1603517749000
lukastyle,wsj,1603934347000
TheDemCoalition,vabvox,1603812049000
ShawnSaintRants,fox13news,1601493901000
PatArnold42,,1603119412000
platopoker,,1604017895000
DeniWolff,potus,1604087758000
travis_byers,joerogan,1600138619000
ProfJonTaylor,univisionnews,1603935304000
JaniceAsylum,demwrite,1603610634000
michaelskinner,cnbcpolitics,1604019942000
two_colored,realdonaldtrump,1600126054000
PaulaDaly14,joebiden,1604108809000
NohAdam9,,1603891015000
Memphis_Grit,twitter,1603940256000
CobaltGuy1,jad_morrison,1603161880000
Kiti642,joebiden,1600113907000
elangran,torreytrust,1601481775000
footbagger311,,1602902869000
Dublindan7The,judiciarygop,1601693774000
Donald_JSr,foxnews,1600370819000
WalkerBJohnnie,thedemocrats,1596770054000
BettyAn36951785,rsandis4biden,1602902539000
Maldo_Riv,debates,1596310470000
KurtThaGreat,realdonaldtrump,1596742713000
Catalonia_US,raquelsansduran,1603905183000
Derrellj69,indivisiblehrco⁩,1602979561000
c2015_rafael,carlosamontaner,1603861565000
Aikens_Josh,timhowes18,1604376445000
ngeidner,ap_politics,1596779884000
JWiere03,debates,1596669153000
sflcat,keithellison,1603866093000
Cade_One,shainescalph,1603862077000
xx2geexx,sammig0203,1603051883000
aliciatoralll,danscavino,1604304484000
jkspagosa,peternavarro45,1601524033000
magicdancer49,danscavino,1604105442000
cmdorsey,judicialwatch,1596391872000
JonnyCPrice,,1600387670000
isaac_villasenr,tellez1984,1603163463000
kjzzphoenix,,1603764123000
PhD_Sven,realdonaldtrump,1600193038000
RaeMargaret61,marcetotw,1603906673000
Jilliandance,jenniferclmn,1596436018000
sciam,sunyaaa,1600195256000
chrisjolley6,joerogan,1600154156000
chaulk_kevin,waynedupreeshow,1604360653000
TodayFranklin,timkennedymma,1600151667000
jacob_wiencek,civilbeat⁩,1601173384000
kylehamer,realdonaldtrump,1602962351000
michcloe321,joerogan,1600161011000
Ondri_2000,,1601632645000
LexaTheGreat,puropinchesa,1604024755000
cssfarmer,nytimes,1604032785000
CatalenaNikole,joebiden,1602902453000
Huskerfancf,kerpen,1603912904000
InTheThickShow,mlimongarza,1604011394000
schwil03,jre_podcast,1600117411000
joehyndman,ldburnett,1603568313000
jhritzen,boknowsnews,1603002044000
GDDaniel1,ddale8,1602886540000
sarahlorraaine,tmschroe,1600017714000
UofMPat,generalwarz,1601249958000
SWEETPEACE3,g8tekeeper,1603087916000
LindseyGrahamSC,lindseygrahamsc,1604371487000
AmandaFrameAARP,aarpwa,1603576818000
AthansABC11,,1604360514000
IndivisPrescott,obeygiant,1601430720000
DeltaDartHorse,realdonaldtrump,1600104160000
CarolDunnack,georgesoros,1600360871000
ocdemparty,,1604353042000
theo_rivas,deadder,1604354036000
ddshelby,williegeist,1603862283000
lilicablossomxo,,1602829099000
Patriot01224735,judicialwatch,1600098174000
DAVanReign,jorgensen4potus,1600117002000
unclemarv_,timkennedymma,1600134557000
Chito_SSBU,,1601501072000
ChaseStratton4,naturenews,1604109323000
WayneGoodwinNC,nchousedems,1596754563000
CaryLafaye,wsj,1603952372000
NancyPerlman1,dellaslongbrown,1603866275000
dprnesq,facethenation,1600028286000
laxconcierge,danscavino,1604314169000
karenmiller777,tomfitton,1598072406000
LanaSaulesha,choices2020,1602880538000
YesOn1Nevada,unlvfreepress,1601244903000
jamalbyron1,skyrider4538,1601197318000
frizzledbeef,w7voa,1603583202000
raeganpayne,dfwmv,1603020706000
sos_jr,homabashwews,1603573738000
ogredon1,larryelder,1601174221000
WowShane,,1604352610000
adplanner,,1604359066000
ptco911,scottwrasmussen,1601402193000
SurveySunday,,1604111403000
WillZejda,victoensing,1598025742000
HopewellES,hopewelles,1604379531000
hdome251,stephenglahn,1596847854000
JohnVetsResist1,,1602983615000
chriskallas654,marcorubio,1598118453000
Memphis_Grit,jack,1603940256000
tridentjohn,boknowsnews,1602953722000
BMLeeJR,forbes,1603095630000
hygarner,georgetakei,1604344217000
LaraPatriot,dailycaller,1604005001000
blessedbutch,afcybergator,1603729687000
