Source,Target,Time
bridget123goooo,postcards4USA,1603129639000
WVA_Patriot,WarRoomPandemic,1603996277000
lisakashinsky,lisakashinsky,1603655241000
DiabeticCyborgg,,1603981051000
Rigby92831138,lrod1970,1603144336000
eateloteamdao,TheLeoTerrell,1602995711000
harry20131120,WarRoomPandemic,1603822386000
alittlebitroyal,YouGovAmerica,1602885280000
AndraBrito12,TheLeoTerrell,1603001650000
chenmarie39,VicToensing,1600355229000
GreatTaskb4Us,IWV,1602959520000
MartinMartinez_,realDonaldTrump,1600019713000
titatheorigina1,Jessica64601859,1601511024000
some1elsesmom2,DanScavino,1604310019000
theoriginalCP1,stinchfield1776,1599960586000
tdtexasmom,DanScavino,1604306960000
reblee1317,OzbatRisa,1601585059000
DonCalzoneVIP,,1602868809000
FirenzeMike,,1604354341000
jamiesdreamteam,Norsu2,1603911722000
wolfpacoregon,ProfCiara,1603002703000
SteveCinSoCal,DanScavino,1604303027000
Ernesto4real,edlavaCNN,1604367777000
Nfly760,DanScavino,1604316426000
KVUE,,1603141203000
teresaeddings,berniethompson,1599945672000
crlulukat,DoYouEvenLif,1604374754000
edfundwest,,1602893955000
Arc89890,JohnKasich,1604296877000
wportusa,scrowder,1604346080000
MarshaSGardner,MyBrothers111,1603994670000
hapydaiz,MichaelCohen212,1604102518000
Amber_305,kevincorke,1603581151000
clafleur87,perfectsliders,1601689417000
lau926,,1601598946000
128JC3,cognitivediss00,1604030850000
SGNSV_,MeidasTouch,1604359863000
goldenpanther12,kbari12,1601402605000
JohnDBeckTV,JohnDBeckTV,1601577036000
virtualintandem,QU33NLiON3SS,1600166144000
alexgulotta,legal_lou,1598210211000
MacTrump2020,,1604008925000
Arcticwolff,VicToensing,1598030692000
gobles,,1604357029000
tqtt2020,StatesPoll,1603994046000
JEEPhade,Jorgensen4POTUS,1596828118000
ChrisCasquejo,,1603685266000
ConversationUS,,1604301495000
MisuzT,realDonaldTrump,1604116140000
NutzOnUrXxin,justinhendrix,1603658555000
irishamrep1,Black_C_Patriot,1603632310000
frozenmn,SKYRIDER4538,1600369426000
DJNazSD,SongBird4Trump,1604099765000
MichelleOGrad12,CBS_Herridge,1602963724000
Def18436572,JohnDTrudel,1602830429000
hightide172,HyltonRobin,1600296067000
_prince_6,Jorgensen4POTUS,1596275414000
MichaelBland54,justsayin_2054,1603140190000
derekdob,,1603928614000
strummer_matic,Jorgensen4POTUS,1600293452000
KateEMontgomery,SFdirewolf,1601264286000
KelseyWaitsMN,,1602873133000
DuncanUrbom,TimKennedyMMA,1600106733000
Babz46,TheLeoTerrell,1603138473000
lv2hike17,WestOProblems,1604309349000
JBucknoff,,1600195519000
SteveScottNEWS,,1604074201000
Elisabe34221728,tom_trotts,1604298058000
Wolfmeis,jwhittenbergK5,1603996436000
chilldenied,StopDonnyTrump,1604357567000
its_omeed,,1601450735000
qpxkylexqp,TimKennedyMMA,1600134941000
JKearby,SKYRIDER4538,1604357561000
bright8694,SuMoh7,1601183375000
Egyptianstyle11,adjunctprofesor,1600316248000
bigledmachine,VicToensing,1600379685000
FletcherSchool,,1601441702000
BLM_KC,KansasSOS,1603734209000
APChristie,AP_Politics,1596626860000
sheeplesarmypod,,1604042522000
dawg_lb,MissILmom,1604356646000
raeganlady,SaveJersey,1601094650000
derekdob,,1601143717000
theatlantavoice,,1604010081000
Lana_Jordan,FOGIntel,1604371507000
IsraelStuartone,SKYRIDER4538,1602936407000
damomba,TimKennedyMMA,1600107794000
1mmaStatistic,jakejakeny,1604100060000
wolfsnowchicken,,1601448766000
trigbethmae_315,TheLeoTerrell,1603688936000
JuneSmith888,DanScavino,1604307968000
boysek,DHStokyo,1603140333000
DollarsnSenseJR,TheYoungTurks,1602842933000
Rparkerscience,MalcolmOutLoud,1603945465000
JoeThomashefski,,1600387654000
alisadoc1,ryanstruyk,1600319685000
DemetreBhunter,,1603121627000
Darrell_Clarke,Commish_Schmidt,1601171315000
21law,TheStephenRalph,1601476182000
frannyhelen,a35mmlife,1604020743000
Debwrightjones,HANKag2020,1600147226000
lobstahsinmaine,DanScavino,1604116026000
sebasjiun,FaceTheNation,1604370786000
jonmgibson,justinhendrix,1603688164000
solomom1171,,1602970436000
AD4Biden,JoeBiden,1600108083000
ElecCollPolls,,1603593620000
GreenwoodLynn,lwvshaker,1601669455000
haydenhooper01,kveotv23,1603728662000
CarlBingman,OwensAmma1960,1603573371000
mirandadevine,Rasmussen_Poll,1603923497000
CraftyKaat,IAmSophiaNelson,1604026816000
Dublindan7The,marsha20201,1601693774000
leggett,ProjectLincoln,1603759488000
DonaldNicolas,AprilDRyan,1602823786000
PSuiteNetwork,,1603848884000
tafl56,TheLeoTerrell,1604101383000
DaneDach,JohnVetsResist1,1601347395000
nottherealdeal8,TimKennedyMMA,1600184863000
PoliticalRaces,,1601669408000
markamerica,WA_Silenced_Maj,1603069788000
DemetreBhunter,,1603895990000
USAGov,EACgov,1604073222000
2lovies,ANC168,1600101770000
JustBreathe59,kgrandia,1602889842000
VCSA_ASUN,,1603763277000
rparham,,1603036812000
NeensCa,cognitivediss00,1604031861000
JntPodcast,J360productions,1601542757000
erinjontow,LACountyRRCC,1603580366000
yoakumgirl923,Rasmussen_Poll,1604028845000
ethanbrady14,TimKennedyMMA,1600108312000
CovidGet,,1602823223000
Patriot01224735,JudicialWatch,1600098174000
amcarmela2,IndySpanglish,1603563496000
sameerhacharya,EdEspinoza,1604309706000
YoJakeIsBaked,TimKennedyMMA,1600079443000
MistralWinds,,1602832597000
HotMessJunkie,CBS_Herridge,1603157023000
iyamtoo,DefendDemocracy,1604032249000
prettysingqueen,,1601448913000
pettypizzarolls,,1601445833000
RobertB52216885,ConservaMomUSA,1603983432000
dbryant2038,SKYRIDER4538,1601507276000
rforkish,,1600199283000
Waterdancer99,,1604046443000
IndivisibleCRIA,hinsonashley,1601605428000
willojean27,Shouse34,1604347979000
SonyaShuler,TexasGOP,1602882249000
DeclanMHurley,,1604099015000
bigtex54,USA_Anne711,1603610793000
tonyareiman,tonyareiman,1601446896000
hpmcmill,NewYorkStateAG,1604364428000
EnterpriseCodeG,ERBofHistory,1603578069000
MichaelParthum,SimpsonsQOTD,1604366615000
jamaicncreolesd,CWatkinsWDSU,1602881686000
inda_hood,TimKennedyMMA,1600062886000
BearItNBarrett,Jorgensen4POTUS,1600204509000
Chito_SSBU,,1601501072000
WiserMadam,TwoBroadsTalk,1601251333000
sheebs64,prayingmedic,1604374673000
justlookingha,CBS_Herridge,1603151288000
ElFloyo,,1599894436000
EthicaLLC,ABAGrassroots,1603822102000
AllyBolour,,1596304004000
jenmdixon,RevDebra,1601448045000
boconnel,,1598022550000
Victori47048713,JudicialWatch,1596434590000
imginamarie1,heather_giron,1600360909000
McGettrickD,AntonioArellano,1603069688000
richiecastaldo,Jorgensen4POTUS,1600321267000
tammycv,DNCWarRoom,1601597567000
justthefactx,JohnOSullivan36,1603835933000
LindseyGrahamSC,JordanSekulow,1604371487000
nanciemac,frequentbuyer1,1601513006000
ClastonB,davidwebbshow,1604346626000
spectrametric,MayorMikeTaylor,1603082707000
jojo71,ChaseThomas89,1604349931000
ObiWanTerhuni,TimKennedyMMA,1601447689000
MatthewTyrmand,DavidSussman,1603781056000
diva_barb,nyinvesting,1602885390000
AdriennePenta,,1604018049000
MosaicYP,,1603776939000
AmericanCapita7,JoeBiden,1603776066000
poppavein,WarRoomPandemic,1603512828000
