Id,Verified,Followers,Region
nyinvesting,false,53588,New York
JntPodcast,false,8835,California
alex_henshaw16,false,10563,Texas
LogicDontCare,false,91,Tennessee
LanaSaulesha,false,117,Florida
soaprookie,false,1507,New York
Andy_Beebe,false,195,Illinois
rforkish,false,220,Oregon
WowShane,false,9369,Michigan
mollydillon57,false,189,Maryland
hygarner,false,903,Texas
Heffaay,false,66,New York
CajunChange,false,172,
RebeMccarthy,false,13865,
Madd_Serv,false,1267,
UofMPat,false,19369,Florida
dreaminginpoems,false,19,Texas
ngeidner,false,1636,Tennessee
mosaic_sp,false,440,Texas
Maldo_Riv,false,144,Virginia
GarbanzoGarage,false,1049,Georgia
Ms_Robinett,false,336,New York
BrianKonkol,false,1170,New York
Whitsk,false,337,Oregon
adplanner,false,1358,Massachusetts
justdeplorible,false,20669,
st7v7ns,false,83,
travis_horr,false,274,District of Columbia
RealDeepState3,false,13750,
DuddleyDuddley,false,156,New York
jacob_wiencek,false,108,Hawaii
FunnerBunner,false,51,Indiana
medpagetoday,true,70039,New York
Jonatha57296037,false,593,New Hampshire
ShaneFScott,false,12,Nevada
ShannonNJake1,false,219,New York
cleangourmet,false,784,Washington
PressHerald,true,93461,Maine
swecids,false,11998,Virginia
FPE66,false,16831,New Jersey
Beattis17,false,11,Texas
WillRodgersJr,false,1149,
NisinCA,false,3847,Arizona
ReneVogelJr,false,459,Nevada
SWCUCC,false,190,Arizona
us888209,false,1733,Texas
_lisejackson,false,17,Pennsylvania
MichiganAdvance,false,14906,Michigan
hapydaiz,false,359,California
realDanBel,false,1038,
droseseest,false,5716,
kronos3323,false,32,Tennessee
CampaignLegal,true,29687,District of Columbia
rivernest1800,false,683,
joywood49789830,false,1055,Georgia
JujunluluJudy,false,7211,Maryland
ericajonez,false,2825,
Atheen_,false,6863,
rdspang90,false,14,Florida
GUPolitics,true,19253,District of Columbia
GwilymMcGrew,false,933,New York
todd_sntcareers,false,180,Louisiana
PaulaDaly14,false,1744,
muzzys_kitchen,false,69,Missouri
paula_myrick,false,4456,
titatheorigina1,false,14,Texas
KasoKim,false,3464,California
Newell3Ethan,false,99,
Raffmaster,false,28236,New York
jparkerNFL,false,2,
larry_kunz,false,1936,North Carolina
cat17534,false,3642,
AndAmericaForA1,false,139,Florida
AmandiOnAir,true,87469,Florida
AmyMacKinnon,false,5991,Massachusetts
jacobmpollock,false,40,Tennessee
JWiere03,false,344,
Sasnak785,false,230,Kansas
YarosisNancy,false,32791,
OccupyDemocrats,false,62459,
jrflyod,false,1494,New Mexico
taubkelly,false,5814,Florida
patriotmom61,false,4347,Virginia
BreathLizzerd,false,2897,Texas
DonCalzoneVIP,false,1244,Massachusetts
Jennife34195249,false,637,
hoamquach,false,1160,California
RyneBolick,false,211,Arizona
n_yang,true,4615,Minnesota
PhD_Sven,false,519,Arizona
WarRoom2020,false,50509,District of Columbia
ecocontractors,false,5331,Texas
footbagger311,false,291,Oregon
CobaltGuy1,false,11339,
wspiv001,false,1936,Florida
psbaloans4u,false,6401,Florida
CaryLafaye,false,2661,
ocdemparty,false,1619,
JosephSoblosky,false,4020,New York
TheBingle,false,596,
EmzRoMus,false,30,Tennessee
karenann915,false,237,North Carolina
ScharaTonya,false,2048,Minnesota
RedwineSueinFL,false,2476,Florida
TheOtherMandela,true,34023,
Swazilander6,false,26,Utah
glassman1930,false,89,Maryland
beatjosep,false,42,California
cmdorsey,false,13888,Iowa
russellsmom40,false,213,Ohio
k_amyks,false,3569,
adjunctprofesor,false,92960,
avgusergirl,false,433,
KarlRobillard1,false,1609,California
DMHord1,false,3291,Texas
rsultzba,false,41942,
jonmgibson,true,1344,California
MaggieinH,false,29,North Carolina
phillyeaglesfa1,false,38919,Pennsylvania
travis_byers,false,247,
CFHeather,false,9764,Texas
TVNewsLady,true,4041,Ohio
UMDPublicHealth,false,6657,Maryland
kmgriswold1,false,1150,Minnesota
Grandmc9,false,318,Texas
Sessal4,false,1813,Arizona
astste,false,152,
RockNRollCabbie,false,337,Nevada
The_Daily_Alien,false,74,
ProgressNow_NC,false,9358,
BMLewis2,false,6731,
HunterofRacks,false,87,
theoriginalCP1,false,245,
SigBeretta,false,20220,
pdfernandez2000,false,5,Texas
DrNealHouston,false,68846,
Trendstone100,false,2,Georgia
VeroBalderasI,false,8639,District of Columbia
Dusty_R17,false,23738,
cececville,false,418,
DudleyDidrightV,false,71567,Texas
LiseTierney,false,209,New Hampshire
KathrynKemm,false,42027,
rustyandsue,false,637,New York
brian_edwards63,false,649,
michael_cornyn,false,8956,
AmeliaCeja,false,7292,California
sos_jr,false,4369,Ohio
p_bolte,false,1546,Missouri
Rosie_wearamask,false,28783,New York
katysolt,true,2204,North Carolina
AAMMA,false,436,Kentucky
KimsGrinning,false,505,Colorado
markamerica,false,5321,
spokanetom,false,12876,Washington
MichaelBland54,false,992,South Carolina
TerryDullum,false,2021,North Dakota
JulieS8921,false,82,District of Columbia
iche_me,false,11730,
davidhuntie,false,58,California
OldManLighting,false,14161,Pennsylvania
50Colleen2,false,288,Texas
CaroleShel,false,2163,California
The_Hard_Gudbye,false,4312,
unclemarv_,false,625,Florida
BruceMsgbw96ret,false,1606,Texas
commongroundcom,false,4103,Connecticut
UTnewsie,false,902,Ohio
BeSeriousUSA,false,48653,
nancyhighlands4,false,18,
usaf84mike,false,7113,Florida
RightHot,false,2637,California
RudraBhawani,false,54,
geri_lopez08,false,84,Texas
chrisjolley6,false,1085,Oregon
vjohnson4senate,false,195,
MichaelJMally1,false,64,Kansas
notjustmylife,false,11272,
swc_news,false,4956,California
KJJRAM,false,221,Montana
BlozikJohn,false,42776,
Forbespaula,false,21567,South Carolina
c2015_rafael,false,3601,New York
BrandsenZack,false,69,Oregon
thatgirlsandra5,false,2750,Florida
BeautBoulevards,false,1822,Arizona
shelez,false,2443,Arizona
DCAYA,false,5486,District of Columbia
kj8217,false,777,Texas
VippusaO,false,2238,
jaymierp,false,11774,Georgia
AJ_Parker11,false,139,Colorado
oldmanstoner420,false,1270,Tennessee
zeusFanHouse,false,65374,Illinois
Kansas4Pete,false,2455,Kansas
julie93263693,false,60,
mrstrongarm,false,2330,New Hampshire
mossback72,false,2159,Texas
gbehr1,false,297,
Mary_Js_ART,false,1883,Kentucky
VolFan397,false,1055,
RexKingofScots,false,756,
LaraPatriot,false,42185,Texas
stayblessed54,false,1,Florida
Red_N_Right,false,6401,
Kemosaabi1,false,29,Texas
KPMueller,false,2139,New Jersey
Ales_Ya,false,95,Arizona
aeg0717,false,1827,
AnthonyTilghman,false,16907,
Yusimite777,false,7102,Oregon
Vickycode1,false,1,Texas
irishRebaS,false,35,
MarkLaporte19,false,19,Alabama
LuvGodFamUSA,false,402,Virginia
dmraci,false,46,
NWSOFA,false,546,Illinois
WayneGoodwinNC,false,12398,
covidhoax2020,false,36,Georgia
marybnall01,false,2811,Texas
fresnometrobcc,false,866,
DirtyDucko,false,354,Massachusetts
Bob_Stinson1234,false,2755,Minnesota
tafl56,false,11566,
SCHNAUZERMOMIE,false,2,Nevada
Jen_Raz206,false,1902,Florida
ModeratelyConf1,false,1,
Harpo302,false,2141,California
nypl,true,2548288,
sicilianfigs,false,3732,
larnold92,false,255,Minnesota
rustyhead2,false,16,New Jersey
knightcaramel,false,114,New York
OU_KAG,false,38474,Alabama
bobsmietana,false,6175,Tennessee
CoryZaro,false,685,Pennsylvania
roxyszal,false,995,California
chiles_dc,false,628,
DeniWolff,false,3137,Pennsylvania
JohnLibertyUSA,false,4906,California
asheborn57,false,19846,
deen9600,false,291,
ckchumley,false,14410,
JoshBlackStPete,false,3286,Florida
isaac_villasenr,false,391,Arizona
Teddy73560510,false,6,California
flanagan_93,false,407,Texas
NYCKirsch,false,22,
Pennylogger,false,1030,
am___king,false,413,Connecticut
Princeton,true,416030,New Jersey
DaBigDAWG10,false,18,
basili_debra,false,11284,Illinois
JaredAllebest,false,906,Utah
billculver,false,171,Illinois
JillsonEmily,false,319,
CMDR_Paylor,false,19638,
travis_mulligan,false,61,Florida
MJdowntheshore,false,11799,New Mexico
TangrediErin,false,4028,
Patriot01224735,false,706,Florida
realTyMJohnston,false,45,North Carolina
EscobedoLizette,false,858,California
eoalejandro,false,98,Illinois
Derrellj69,false,214,Colorado
everewarr,false,70,Tennessee
BobLancia,true,4063,Rhode Island
D_P_Patterson,false,19852,California
idiotic_t,false,134,Texas
kylehamer,false,430,Texas
monica_sassy,false,55648,
joehick58,false,15711,Pennsylvania
granger_md,false,13,
blessedbutch,false,41191,
claudin10106476,false,229,Texas
spiritwolf50,false,1127,Ohio
curiousgeorgita,false,3244,Florida
ryan10_sa,false,94,Washington
JuliaRaifman,false,1767,Massachusetts
LorraineEvanoff,false,8700,California
Gwydion620,false,1399,Alabama
Londonrose2020,false,776,South Carolina
ozxbaby,false,512,Colorado
dcurtis10,false,1236,Illinois
KelseyWaitsMN,false,162,Minnesota
theo_rivas,false,81,New York
RayPendergast01,false,1210,Idaho
jamesbinman,false,2,Virginia
NWAMiller,false,880,Arkansas
alexvicunaa,false,17,California
kmergler1,false,1254,Virginia
WalkerBJohnnie,false,227,North Carolina
Ondri_2000,false,165,Illinois
LisaWNC1,false,12816,
Joel44537047,false,552,Connecticut
sflcat,false,1940,Florida
LibertatemFirst,false,1348,Pennsylvania
lostinohio1,false,25975,Ohio
BruceDCollins,false,547,California
RealOrbit,false,81,
OlderandB,false,2,Minnesota
xchristinalynnx,false,110,Iowa
DeltaDartHorse,false,265,
thescrewreview,false,996,New York
3JaysMomma,false,5381,Louisiana
Patrick_Small86,false,208,Maryland
xdaisy_mae,false,245,
BTCmetalmouse,false,21,District of Columbia
RobinCotten2,false,226,Mississippi
JeepDogSnacks,false,71,Pennsylvania
thejoshuablogs,false,4,New York
mirandadevine,true,90767,New York
Spicler,false,7,
Memphis_Grit,false,231,Tennessee
GreenwoodLynn,false,96,Ohio
justlookingha,false,3155,Michigan
dgarcia2823,false,293,Texas
GaryCuzz,false,258,Michigan
Calipede45,false,1974,California
cwpounder,false,289,
DeplorableEr,false,2524,
JETBallin,false,2163,California
RICKISAPATRIOT,false,36938,
taufiqueswiss,false,43,District of Columbia
sarahlorraaine,false,193,Virginia
JamesJo16343311,false,3430,Ohio
BMLeeJR,false,393,District of Columbia
Farajii,false,2365,Maryland
J_Marrs_,false,604,New York
Theo1001,false,78,Nevada
Sciguy999,false,1426,
SurveySunday,false,586,Florida
KurtThaGreat,false,116,Texas
jade25801418,false,6631,
JoanieDee44,false,9530,New Jersey
alirlozano,false,754,Texas
jostonjustice,false,3530,District of Columbia
denise26105,false,2706,Washington
Jake4Liberty_v2,false,867,
OrsonJTrump,false,1604,California
ukiddinu,false,4406,New York
telosa3,false,2282,New York
chaulk_kevin,false,306,Nebraska
MikefromFLA,false,491,California
LoLoMead,false,6674,
Blowe48,false,1276,Florida
_prince_6,false,645,Tennessee
johnloc75707054,false,3,
MagnificentOne_,false,2269,South Carolina
IceShelvesAndAC,false,240,Ohio
JasonHortiz,false,436,Delaware
KBrew4,false,14554,
Ginutsa1,false,87,
chucktweet,false,293,
marymorrtamu85,false,632,Texas
BugsyBanks,false,4456,Oregon
jrossr59,false,66,Texas
RPCoalition,true,27408,Illinois
MrThomasMurray2,false,1336,Pennsylvania
HamiltonLisaM,false,875,
custom_baseball,false,122,
AK_VaporCharms,false,3427,Alaska
bigpops8792,false,161,Florida
Donald_JSr,false,2433,
deaschroeder,false,224,Texas
ginsbergcenter,false,1890,
